2026-05-02 01:40:57 | INFO | search_model_configurations | Saved search progress after 41 completed trials
2026-05-02 01:40:57 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 4, 'learning_rate': 0.05}
2026-05-02 01:41:01 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=7.048292e+00 final_test_mse=7.801655e+01
2026-05-02 01:41:02 | INFO | search_model_configurations | Saved search progress after 42 completed trials
2026-05-02 01:41:02 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 0, 'learning_rate': 0.001}
2026-05-02 01:41:06 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.000731e+02 final_test_mse=9.460566e+01
2026-05-02 01:41:06 | INFO | search_model_configurations | Saved search progress after 43 completed trials
2026-05-02 01:41:06 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 0, 'learning_rate': 3e-05}
2026-05-02 01:41:10 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.475605e+02 final_test_mse=1.363880e+02
2026-05-02 01:41:11 | INFO | search_model_configurations | Saved search progress after 44 completed trials
2026-05-02 01:41:11 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 1, 'learning_rate': 0.005}
2026-05-02 01:41:14 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=1.445013e-12 final_test_mse=6.845771e+01
2026-05-02 01:41:15 | INFO | search_model_configurations | Saved search progress after 45 completed trials
2026-05-02 01:41:15 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 2, 'learning_rate': 0.1}
2026-05-02 01:41:18 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=3.321415e-03 final_test_mse=7.049199e+01
2026-05-02 01:41:19 | INFO | search_model_configurations | Saved search progress after 46 completed trials
2026-05-02 01:41:19 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 2, 'learning_rate': 0.05}
2026-05-02 01:41:22 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=2.433892e-05 final_test_mse=5.869498e+01
2026-05-02 01:41:23 | INFO | search_model_configurations | Saved search progress after 47 completed trials
2026-05-02 01:41:23 | INFO | search_model_configurations | Search trial model=mlp lag=32 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 3, 'learning_rate': 0.0007}
2026-05-02 01:41:27 | INFO | search_model_configurations | Search result model=mlp lag=32 final_train_mse=2.433750e-03 final_test_mse=6.082750e+01
2026-05-02 01:41:28 | INFO | search_model_configurations | Saved search progress after 48 completed trials
2026-05-02 01:41:28 | INFO | search_model_configurations | Prepared 24/375 mlp trials for lag=48
2026-05-02 01:41:28 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 1, 'learning_rate': 0.1}
2026-05-02 01:41:32 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=6.459118e-03 final_test_mse=2.647887e+01
2026-05-02 01:41:33 | INFO | search_model_configurations | Saved search progress after 49 completed trials
2026-05-02 01:41:33 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 2, 'learning_rate': 0.05}
2026-05-02 01:41:36 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=3.298653e-04 final_test_mse=2.500733e+01
2026-05-02 01:41:37 | INFO | search_model_configurations | Saved search progress after 50 completed trials
2026-05-02 01:41:37 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 2, 'learning_rate': 0.0007}
2026-05-02 01:41:40 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=2.183008e+00 final_test_mse=1.672711e+01
2026-05-02 01:41:41 | INFO | search_model_configurations | Saved search progress after 51 completed trials
2026-05-02 01:41:41 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 0, 'learning_rate': 0.001}
2026-05-02 01:41:44 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=6.666458e+01 final_test_mse=6.564806e+01
2026-05-02 01:41:45 | INFO | search_model_configurations | Saved search progress after 52 completed trials
2026-05-02 01:41:45 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 3, 'learning_rate': 1e-05}
2026-05-02 01:41:49 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.162710e+02 final_test_mse=1.118905e+02
2026-05-02 01:41:53 | INFO | search_model_configurations | Saved search progress after 53 completed trials
2026-05-02 01:41:53 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 0, 'learning_rate': 0.02}
2026-05-02 01:41:56 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.073246e+01 final_test_mse=1.228423e+01
2026-05-02 01:41:57 | INFO | search_model_configurations | Saved search progress after 54 completed trials
2026-05-02 01:41:57 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 0, 'learning_rate': 0.0003}
2026-05-02 01:42:00 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=9.812956e+01 final_test_mse=9.864054e+01
2026-05-02 01:42:01 | INFO | search_model_configurations | Saved search progress after 55 completed trials
2026-05-02 01:42:01 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 0.1}
2026-05-02 01:42:04 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=4.038448e-04 final_test_mse=1.970274e+01
2026-05-02 01:42:05 | INFO | search_model_configurations | Saved search progress after 56 completed trials
2026-05-02 01:42:05 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 0.0007}
2026-05-02 01:42:08 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=2.558349e+00 final_test_mse=1.408161e+01
2026-05-02 01:42:09 | INFO | search_model_configurations | Saved search progress after 57 completed trials
2026-05-02 01:42:09 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 1, 'learning_rate': 3e-05}
2026-05-02 01:42:12 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.070947e+02 final_test_mse=1.071301e+02
2026-05-02 01:42:13 | INFO | search_model_configurations | Saved search progress after 58 completed trials
