best_epoch,best_test_mse,epochs,final_test_mse,final_train_mse,hidden,lag,learning_rate,loss_history_npz,model_type,num_hidden_layers,num_layers
600,10.631938357469512,600,10.631938357469512,4.219423770904541,64,80,0.0005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_1_lr_0p0005.npz,mlp,1,
62,8.13043302210366,600,10.832076505335365,1.0354707091764226e-09,64,80,0.01,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_2_lr_0p01.npz,mlp,2,
57,7.305063833841463,600,8.833120950838415,0.05607857555150986,64,80,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_3_lr_0p05.npz,mlp,3,
196,10.356133288871952,600,12.237021246189025,0.005398474633693695,64,80,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_3_lr_0p0007.npz,mlp,3,
386,10.970607850609756,600,11.45798280297256,0.31007668375968933,64,80,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_3_lr_0p0003.npz,mlp,3,
600,190.8109756097561,600,190.8109756097561,164.4962921142578,64,80,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_3_lr_1em05.npz,mlp,3,
144,10.963748094512194,600,14.032638624237805,0.00033773714676499367,64,80,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_64_layers_4_lr_0p0007.npz,mlp,4,
600,140.9713700457317,600,140.9713700457317,130.53756713867188,128,80,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_128_layers_0_lr_0p0003.npz,mlp,0,
29,6.656977062690549,600,8.43518006859756,0.004191136918962002,128,80,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_128_layers_3_lr_0p05.npz,mlp,3,
31,7.540270102896342,600,8.129685713605182,0.34824272990226746,128,80,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_128_layers_4_lr_0p05.npz,mlp,4,
111,4.921180092416159,600,4.934595024294969,4.63120174407959,256,80,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_256_layers_0_lr_0p1.npz,mlp,0,
460,19.731990758384146,600,19.891471751143293,4.4120255893176363e-07,256,80,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_256_layers_1_lr_0p2.npz,mlp,1,
45,6.843938166920732,600,8.42718416539634,2.279046363521525e-13,256,80,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_256_layers_2_lr_0p002.npz,mlp,2,
42,94.60242949695122,600,163.24161585365854,173.21429443359375,256,80,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_256_layers_3_lr_0p1.npz,mlp,3,
567,9.72172256097561,600,9.737071860708841,2.1047768592834473,256,80,3e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_256_layers_4_lr_3em05.npz,mlp,4,
300,20.835075266768293,600,23.45941787347561,2.386507987976074,512,80,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_512_layers_4_lr_0p05.npz,mlp,4,
36,7.129125381097561,600,8.304273056402439,2.5000392923392456e-13,512,80,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_512_layers_4_lr_0p005.npz,mlp,4,
40,9.240012862042683,600,10.821131859756097,1.8938024481940374e-09,512,80,0.0007,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_80_hidden_512_layers_4_lr_0p0007.npz,mlp,4,
600,45.45465891768293,600,45.45465891768293,46.950462341308594,32,96,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_0_lr_0p001.npz,mlp,0,
600,58.86453887195122,600,58.86453887195122,65.62168884277344,32,96,0.0005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_0_lr_0p0005.npz,mlp,0,
137,5.126839986661586,600,5.600120283917683,1.6588558082730742e-07,32,96,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_2_lr_0p003.npz,mlp,2,
59,4.060784465510671,600,4.7348218964367375,3.92539489411578e-13,32,96,0.05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_3_lr_0p05.npz,mlp,3,
42,3.564424542682927,600,4.39157089605564,4.196527836602265e-13,32,96,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_3_lr_0p02.npz,mlp,3,
194,6.254228396532012,600,6.368510027629573,4.793735570274293e-06,32,96,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_32_layers_4_lr_0p001.npz,mlp,4,
600,79.31420064786586,600,79.31420064786586,70.86406707763672,64,96,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_64_layers_0_lr_0p0003.npz,mlp,0,
117,4.895254739900914,600,5.010696336699695,7.2688816771249165e-12,64,96,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_64_layers_1_lr_0p005.npz,mlp,1,
209,5.3131591796875,600,5.407641006097561,7.979049314599251e-07,64,96,0.003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_64_layers_1_lr_0p003.npz,mlp,1,
600,13.63010194359756,600,13.63010194359756,4.936333179473877,64,96,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_96_hidden_64_layers_1_lr_0p0003.npz,mlp,1,
